D,c0,alpha,a,D_ls_px,c0_ls_px,alpha_ls_px,D_ls_rc,c0_ls_rc,alpha_ls_rc,D_ls_nn,c0_ls_nn,alpha_ls_nn
1.2386014,0.75,0.7,0.05,1.2397381067276,0.7500521540641785,0.7002830505371094,1.2387129068374634,0.7502962946891785,0.7001937031745911,1.2515053749084473,0.7575458288192749,0.7060495615005493
1.2386014,0.75,0.7,0.05,1.2363654375076294,0.7500667572021484,0.7010104656219482,1.2316259145736694,0.751640260219574,0.7023318409919739,1.2497550249099731,0.7533224821090698,0.7004944682121277
1.2386014,0.75,0.7,0.05,1.2413222789764404,0.7499917149543762,0.6968861222267151,1.246704339981079,0.7478314638137817,0.6974472403526306,1.263534665107727,0.755478024482727,0.694732129573822
1.2386014,0.75,0.7,0.05,1.2432483434677124,0.7499834895133972,0.6986030340194702,1.2402682304382324,0.7505748867988586,0.6979868412017822,1.2614582777023315,0.7506380677223206,0.6948102712631226
1.2386014,0.75,0.7,0.05,1.2373707294464111,0.7500127553939819,0.7014523148536682,1.2389824390411377,0.7515897750854492,0.6975143551826477,1.2517125606536865,0.7554666996002197,0.6945904493331909
1.2386014,0.75,0.7,0.05,1.2353707551956177,0.7500507235527039,0.7010721564292908,1.222568154335022,0.7533974647521973,0.70228511095047,1.2444943189620972,0.756038248538971,0.7015863656997681
1.2386014,0.75,0.7,0.05,1.2460919618606567,0.7500050067901611,0.6967206001281738,1.2444335222244263,0.750739574432373,0.6978263854980469,1.2647756338119507,0.7520450353622437,0.6938657760620117
1.2386014,0.75,0.7,0.05,1.2336459159851074,0.749910831451416,0.702511191368103,1.2293521165847778,0.750541627407074,0.7034962773323059,1.2483406066894531,0.7542616724967957,0.7072837352752686
1.2386014,0.75,0.7,0.05,1.2363978624343872,0.7499111890792847,0.6989318132400513,1.2415872812271118,0.7493444681167603,0.6976519823074341,1.2529274225234985,0.7517836093902588,0.6967156529426575
1.2386014,0.75,0.7,0.05,1.2380118370056152,0.7500093579292297,0.6984185576438904,1.233295202255249,0.7522557973861694,0.6989346146583557,1.2489299774169922,0.7491644024848938,0.6947135925292969
1.2386014,0.75,0.7,0.05,1.2389060258865356,0.7499250173568726,0.6995047926902771,1.2131351232528687,0.755017876625061,0.7053127288818359,1.2412316799163818,0.7553772330284119,0.6891759037971497
1.2386014,0.75,0.7,0.05,1.2309670448303223,0.7499872446060181,0.7010120749473572,1.225709319114685,0.7497709393501282,0.7040985226631165,1.2516118288040161,0.7536240816116333,0.6902199983596802
1.2386014,0.75,0.7,0.05,1.2371333837509155,0.7500672936439514,0.7015002369880676,1.2350703477859497,0.7496539354324341,0.7028909921646118,1.255406141281128,0.7513899803161621,0.7000428438186646
1.2386014,0.75,0.7,0.05,1.2352349758148193,0.7498408555984497,0.7014665007591248,1.2381209135055542,0.7492738366127014,0.7004441618919373,1.2498775720596313,0.7565511465072632,0.6954604387283325
1.2386014,0.75,0.7,0.05,1.2431650161743164,0.7500478625297546,0.6967064738273621,1.2427561283111572,0.7496362924575806,0.6958582997322083,1.2553260326385498,0.7567785382270813,0.696548342704773
1.2386014,0.75,0.7,0.05,1.235063910484314,0.7501342296600342,0.7018580436706543,1.2591021060943604,0.745357096195221,0.6947177052497864,1.2773536443710327,0.7528315782546997,0.6879727244377136
1.2386014,0.75,0.7,0.05,1.242942452430725,0.7499551773071289,0.6992042064666748,1.237819790840149,0.7518965005874634,0.6993499994277954,1.2432986497879028,0.7507683038711548,0.6965824961662292
1.2386014,0.75,0.7,0.05,1.2391479015350342,0.7500032186508179,0.700556755065918,1.2528150081634521,0.7480893731117249,0.6961028575897217,1.2628417015075684,0.755099892616272,0.6814265251159668
1.2386014,0.75,0.7,0.05,1.2360937595367432,0.7499515414237976,0.7011125683784485,1.2341059446334839,0.751203179359436,0.7002891898155212,1.2423213720321655,0.7571653723716736,0.6975861191749573
1.2386014,0.75,0.7,0.05,1.242762804031372,0.750076413154602,0.698334276676178,1.2501308917999268,0.7483590245246887,0.6973783373832703,1.2617260217666626,0.7552955150604248,0.694627583026886
1.2386014,0.75,0.7,0.05,1.237689733505249,0.749870240688324,0.7018715739250183,1.230859637260437,0.7493331432342529,0.7067367434501648,1.2400680780410767,0.7531077265739441,0.69903165102005
1.2386014,0.75,0.7,0.05,1.237894892692566,0.7500846982002258,0.6990235447883606,1.2413114309310913,0.7459385991096497,0.7026526927947998,1.253505825996399,0.748588502407074,0.6933045387268066
1.2386014,0.75,0.7,0.05,1.2379142045974731,0.750066876411438,0.699393630027771,1.2444446086883545,0.747681736946106,0.6984562277793884,1.253073811531067,0.7560364603996277,0.6934238076210022
1.2386014,0.75,0.7,0.05,1.2346653938293457,0.7499111294746399,0.7005952000617981,1.230088710784912,0.7510876655578613,0.70167076587677,1.2523603439331055,0.7538340091705322,0.6960548758506775
1.2386014,0.75,0.7,0.05,1.2359695434570312,0.7499621510505676,0.7006242275238037,1.2416974306106567,0.7482194304466248,0.7001761198043823,1.2462553977966309,0.7531492114067078,0.697033166885376
1.2386014,0.75,0.7,0.05,1.2366368770599365,0.750076413154602,0.7005527019500732,1.2459156513214111,0.7463738918304443,0.7025468349456787,1.2631884813308716,0.7563840746879578,0.6954196691513062
1.2386014,0.75,0.7,0.05,1.2413947582244873,0.7501232028007507,0.6983447670936584,1.228658676147461,0.7512942552566528,0.7033591866493225,1.2628345489501953,0.7547032237052917,0.7039135098457336
1.2386014,0.75,0.7,0.05,1.235491156578064,0.7500545382499695,0.700434148311615,1.230316162109375,0.7507457733154297,0.702994704246521,1.2570693492889404,0.7541250586509705,0.6981049180030823
1.2386014,0.75,0.7,0.05,1.2394112348556519,0.7500241994857788,0.6993769407272339,1.2392643690109253,0.7499906420707703,0.6994099020957947,1.2517828941345215,0.7506062984466553,0.69130939245224
1.2386014,0.75,0.7,0.05,1.2360711097717285,0.7500719428062439,0.7010423541069031,1.2460201978683472,0.7475064396858215,0.7002575397491455,1.2556238174438477,0.7551292181015015,0.6960660815238953
1.2386014,0.75,0.7,0.05,1.2379496097564697,0.7500535249710083,0.6990081071853638,1.2378064393997192,0.7495604753494263,0.6983702182769775,1.2658793926239014,0.7519827485084534,0.684346079826355
1.2386014,0.75,0.7,0.05,1.2352415323257446,0.7499004006385803,0.7023071050643921,1.2284406423568726,0.74965500831604,0.7061668038368225,1.254929780960083,0.7559285163879395,0.6998124718666077
1.2386014,0.75,0.7,0.05,1.2407618761062622,0.7498599886894226,0.7000922560691833,1.234852910041809,0.7498487830162048,0.7021259069442749,1.2547390460968018,0.7535412311553955,0.6960663199424744
1.2386014,0.75,0.7,0.05,1.2393642663955688,0.7500348687171936,0.7003713250160217,1.2226026058197021,0.753483772277832,0.7038161754608154,1.2428430318832397,0.7582657933235168,0.7024200558662415
1.2386014,0.75,0.7,0.05,1.2410852909088135,0.7500337362289429,0.6999847292900085,1.248759150505066,0.7483015060424805,0.697346031665802,1.2561275959014893,0.7541400194168091,0.7014930248260498
1.2386014,0.75,0.7,0.05,1.2392627000808716,0.7500919699668884,0.6996829509735107,1.230771541595459,0.7529646754264832,0.6998463273048401,1.2409383058547974,0.750093400478363,0.6976176500320435
1.2386014,0.75,0.7,0.05,1.2381348609924316,0.7500382661819458,0.7019181251525879,1.2308545112609863,0.7501315474510193,0.7059690356254578,1.2625892162322998,0.75258469581604,0.6941547989845276
1.2386014,0.75,0.7,0.05,1.2369306087493896,0.7499613761901855,0.7006341814994812,1.245429515838623,0.7503807544708252,0.6953319311141968,1.2585830688476562,0.7518349885940552,0.6966374516487122
1.2386014,0.75,0.7,0.05,1.233856439590454,0.7499534487724304,0.7015447020530701,1.239848256111145,0.7503641247749329,0.6971555352210999,1.2474746704101562,0.7560615539550781,0.6984564065933228
1.2386014,0.75,0.7,0.05,1.2394206523895264,0.7499889135360718,0.7006747722625732,1.2323191165924072,0.751731276512146,0.7012062668800354,1.2591928243637085,0.7581844329833984,0.699224591255188
1.2386014,0.75,0.7,0.05,1.2402735948562622,0.7499206066131592,0.6993843913078308,1.2409031391143799,0.7506177425384521,0.6988045573234558,1.2535513639450073,0.7581499814987183,0.6965934634208679
1.2386014,0.75,0.7,0.05,1.2333917617797852,0.7498089075088501,0.7043648362159729,1.2328739166259766,0.7490487098693848,0.705612063407898,1.253382921218872,0.7522565722465515,0.6971025466918945
